,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,True Romantics,True Romantics,Ellen Allien,2020-05-15,278742,18,0.623,0.0201,0.623,0.536,0.684,0.0584,-12.74,0.0271,134.007,3
38,Bill Murray,Bill Murreee,Eats Everything,2020-02-14,489340,26,0.742,0.0137,0.742,0.93,0.892,0.138,-4.689,0.165,130.0,4
39,War Rhythm,Clash of The Tight-Uns,Eats Everything,2017-03-24,434797,32,0.751,0.00451,0.751,0.739,0.323,0.62,-6.129,0.0481,126.982,4
40,Sparkling Controversy,Sparkling Controversy,Floating Points,2014-08-18,473143,24,0.725,0.000364,0.725,0.651,0.852,0.115,-10.016,0.0857,125.085,4
41,Small Talk - Original Mix,Small Talk,Harrison BDP,2016-05-23,504000,31,0.795,0.000676,0.795,0.906,0.926,0.0626,-7.817,0.0586,123.007,4
42,Made To Stray,Cold Spring Fault Less Youth,Mount Kimbie,2013-05-27,286760,48,0.838,0.667,0.838,0.714,0.841,0.0673,-5.471,0.174,128.985,4
43,Made to Stray - DJ Koze Remix,"Reincarnations, Pt. 2 - The Remix Chapter 2009 - 2014",DJ Koze,2014-10-24,490663,24,0.622,0.00615,0.622,0.568,0.834,0.582,-12.732,0.0376,124.991,4
44,The Devil in Disguise,Cathedrals,Harrison BDP,2020-01-17,577683,17,0.749,0.000431,0.749,0.723,0.895,0.126,-8.255,0.0575,130.003,4
45,L.A. Ruffgarden - Terrace Mix,L.A. Ruffgarden,Denis Sulta,2015-09-04,349596,33,0.632,0.00507,0.632,0.764,0.805,0.1,-7.078,0.0479,126.078,4
46,OHM,SYS01,FJAAK,2020-07-07,380463,30,0.616,0.000907,0.616,0.905,0.801,0.247,-3.312,0.0766,136.997,4
47,B O D Y,Bucklyn Bridge EP,KETTAMA,2018-07-16,305271,48,0.875,0.00448,0.875,0.945,0.809,0.0802,-7.564,0.0669,128.982,4
48,Pool Party Music,Pool Party Music,Mall Grab,2017-03-03,367619,19,0.839,1.82e-05,0.839,0.652,0.923,0.13,-8.473,0.122,125.989,4
49,Rigid - Kobosil 44 Rush Mix,Rr4,Rosa Anschütz,2019-08-30,412920,58,0.805,0.00086,0.805,0.917,0.625,0.108,-5.925,0.151,134.996,4
50,Super Smash,Super Smash / Oblivion,FJAAK,2015-12-11,385244,25,0.734,0.00364,0.734,0.952,0.832,0.0641,-9.787,0.0711,129.033,4
51,Welcome Back Mama - FJAAK Remix,Brighten Up Bunny EP,Rod,2019-05-03,360760,21,0.628,0.485,0.628,0.783,0.936,0.111,-10.273,0.0619,132.011,4
52,Frozen Room,Diving from the Void,Charles Fenckler,2016-11-25,373094,36,0.724,6.35e-05,0.724,0.818,0.908,0.114,-9.147,0.0418,130.023,4
53,You Should Get To Know Me,"Raw Cuts, Vol. 13",Various Artists,2019-05-03,370560,1,0.844,0.000337,0.844,0.744,0.812,0.0955,-6.256,0.0623,125.0,4
54,Crucificado (Original Mix),Holiday for Hypocrites,Diego,2011-04-18,410079,0,0.582,0.189,0.582,0.578,0.933,0.11,-13.824,0.103,127.885,4
55,Anger,Anger,Philippe Petit,2019-10-11,352671,3,0.742,0.603,0.742,0.532,0.913,0.112,-14.744,0.0577,132.02,4
56,Disco Loco - Harvey McKay Remix,Curveballs (Remixes),Riva Starr,2019-03-25,319400,14,0.956,0.0723,0.956,0.99,0.749,0.105,-9.044,0.141,129.997,4
57,Temperature Rising,Temperature Rising,KETTAMA,2019-11-01,325884,44,0.767,0.00027,0.767,0.935,0.344,0.0411,-7.268,0.0612,129.994,4
58,Lucid,Inferno EP,Yan Cook,2020-09-07,346133,7,0.653,0.000591,0.653,0.911,0.852,0.547,-9.944,0.0495,135.982,3
59,Emission Nebula,R3,Rhomb,2020-05-11,341818,9,0.614,0.206,0.614,0.874,0.945,0.121,-9.282,0.0427,132.011,4
60,Sova,R4,Rhomb,2020-08-10,356250,2,0.79,0.158,0.79,0.562,0.949,0.111,-8.985,0.103,127.998,4
61,Alien Dunes,R3,Rhomb,2020-05-11,363636,2,0.68,0.0661,0.68,0.782,0.914,0.103,-8.949,0.0405,132.003,4
62,Open Road,R1,Rhomb,2019-07-01,389104,5,0.726,0.706,0.726,0.52,0.96,0.081,-15.86,0.0452,133.995,4
63,Suddenly I Realised,"What are you thinking about, little duck?",Stanislav Tolkachev,2019-10-11,548176,14,0.434,0.0747,0.434,0.375,0.918,0.117,-18.082,0.0727,135.006,4
64,I Am Your God,Who Else,Modeselektor,2019-02-22,258927,27,0.672,0.00795,0.672,0.865,0.905,0.675,-11.812,0.0461,132.993,3
65,Disturbance,Dcltd.01-22,Various Artists,2021-01-08,503143,0,0.815,0.0139,0.815,0.809,0.89,0.12,-9.507,0.0599,129.982,4
66,All I See - BAUGRUPPE90 Remix,All I See (BAUGRUPPE90 Remix),Anja Schneider,2021-01-29,379631,45,0.749,0.045,0.749,0.834,0.722,0.101,-7.63,0.0693,135.038,4
67,Looking For Trouble,"How The Dogs Chill, Vol.1",Mall Grab,2018-09-21,308244,33,0.713,0.000227,0.713,0.947,0.912,0.0868,-11.178,0.0417,135.015,4
