,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,Breezeblocks,An Awesome Wave,alt-J,2012-05-28,227080,0,0.569,0.118,0.569,0.645,0.00114,0.146,-7.368,0.0387,74.985,4
38,November,Flower Boy,"Tyler, The Creator",2017-07-21,225346,67,0.547,0.354,0.547,0.759,2.15e-05,0.676,-7.039,0.413,91.85,4
39,Boredom (feat. Rex Orange County & Anna of the North),Flower Boy,"Tyler, The Creator",2017-07-21,320720,76,0.559,0.79,0.559,0.578,0.000522,0.324,-9.54,0.151,79.938,4
40,Another Case,Take a Rest,Tora,2017-06-09,200357,0,0.803,0.638,0.803,0.513,0.25,0.109,-10.776,0.0514,110.024,4
41,Find Me,Ocean & Montana,Buddy,2017-05-19,221482,34,0.496,0.00244,0.496,0.536,1.52e-06,0.125,-12.008,0.377,151.962,4
42,Beautiful,The Best Of Snoop Dogg,Snoop Dogg,2005-01-01,299146,71,0.893,0.299,0.893,0.74,0.0,0.0881,-4.936,0.132,101.025,4
43,Money Trees,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2012-10-22,386906,74,0.716,0.0703,0.716,0.531,0.0,0.224,-7.355,0.122,71.994,4
44,30 Hours,The Life Of Pablo,Kanye West,2016-06-10,323302,0,0.819,0.0339,0.819,0.809,0.0,0.1,-6.724,0.292,95.091,4
45,Firefly,Someday Somewhere,Mura Masa,2015-04-10,228000,0,0.793,0.415,0.793,0.449,2.02e-06,0.0642,-9.243,0.136,109.982,4
46,When U Need Me,Someday Somewhere,Mura Masa,2015-04-10,245607,0,0.661,0.438,0.661,0.391,0.0372,0.186,-10.288,0.0621,106.982,4
47,YOU'RE THE ONE,99.9%,KAYTRANADA,2016-05-06,227706,1,0.824,0.0323,0.824,0.396,0.00289,0.108,-9.663,0.332,118.053,4
48,Runaway,My Beautiful Dark Twisted Fantasy,Kanye West,2010-11-22,547733,81,0.374,0.219,0.374,0.568,0.00219,0.513,-3.825,0.109,84.733,4
49,Ghost Town,ye,Kanye West,2018-06-01,271386,0,0.572,0.0954,0.572,0.543,0.0,0.329,-4.251,0.0287,83.364,4
50,Headlines,Headlines,McClenney,2016-12-09,195151,23,0.856,0.0956,0.856,0.509,0.277,0.12,-9.922,0.258,101.921,4
51,BULLETS,99.9%,KAYTRANADA,2016-05-06,299000,0,0.863,0.14,0.863,0.75,0.0882,0.102,-9.273,0.0734,125.042,4
52,Saint,Negro Swan,Blood Orange,2018-08-24,192009,51,0.795,0.043,0.795,0.629,0.000154,0.378,-8.704,0.0745,100.803,4
53,Temporary View,Wonder Where We Land,SBTRKT,2014-09-29,206147,0,0.706,0.548,0.706,0.707,0.000313,0.1,-5.212,0.0351,144.877,4
54,Redbone,"""Awaken, My Love!""",Childish Gambino,2016-12-02,326933,0,0.745,0.192,0.745,0.359,0.00628,0.138,-10.429,0.112,160.123,4
55,Me and Your Mama,"""Awaken, My Love!""",Childish Gambino,2016-12-02,379226,0,0.55,0.00957,0.55,0.451,0.0228,0.0712,-11.754,0.0363,117.951,3
56,FOR MY PEOPLE,ALL-AMERIKKKAN BADA$$,Joey Bada$$,2017-04-07,232765,0,0.672,0.111,0.672,0.704,0.0,0.115,-6.628,0.165,100.986,4
57,Get to Know Ya - KAYTRANADA FLIP,For All We Know - The Remixes - EP,Nao,2017-02-09,307640,47,0.885,0.295,0.885,0.49,0.31,0.103,-13.954,0.33,105.996,4
58,All We Need,All We Need,Raury,2015-10-16,283320,42,0.459,0.397,0.459,0.496,0.0469,0.122,-8.832,0.0341,105.044,4
59,Feel No Ways,Views,Drake,2016-05-06,240653,0,0.581,0.032,0.581,0.673,6.38e-06,0.116,-7.111,0.162,193.668,4
60,"Please, Stay",House de France,Various Artists,2018-09-14,605806,28,0.857,0.0155,0.857,0.499,0.914,0.109,-12.878,0.0608,123.989,3
61,Sanctuary,Sanctuary,Joji,2019-06-14,180018,70,0.552,0.422,0.552,0.65,0.000275,0.372,-7.199,0.128,167.788,4
62,Liverpool Street In The Rain,"How The Dogs Chill, Vol. 1",Mall Grab,2018-09-21,332437,24,0.669,0.0103,0.669,0.802,0.886,0.154,-9.193,0.0333,130.038,4
63,EARFQUAKE,IGOR,"Tyler, The Creator",2019-05-17,190066,84,0.554,0.23,0.554,0.498,5.98e-06,0.795,-8.866,0.0685,79.635,4
64,CrasH,CrasH Talk,ScHoolboy Q,2019-04-26,161480,64,0.825,0.0311,0.825,0.644,0.0,0.086,-6.001,0.175,132.019,4
65,Crush - Unfinished,Leak 04-13 (Bait Ones),Jai Paul,2013-04-13,225280,0,0.676,0.0608,0.676,0.346,0.044,0.115,-8.039,0.229,111.164,4
66,Cocola,About You E.P.,Weast,2018-06-19,326960,43,0.805,0.456,0.805,0.513,0.921,0.111,-10.751,0.165,124.019,4
67,Cocoa Butter Kisses,Acid Rap,Chance the Rapper,2013-04-30,307187,75,0.679,0.0518,0.679,0.645,0.0,0.145,-7.777,0.222,125.795,4
68,Sizzling,Sizzling,Daphni,2019-06-05,321713,0,0.711,0.00046,0.711,0.927,0.832,0.0506,-8.194,0.0374,132.029,4
69,"Hold On, We're Going Home",Nothing Was The Same,Drake,2013-01-01,227880,74,0.777,0.00421,0.777,0.414,2.73e-05,0.0724,-7.44,0.0946,100.002,4
70,Polish Girl,Era Extraña,Neon Indian,2011-09-12,264000,0,0.631,0.00434,0.631,0.883,5.3e-05,0.138,-4.162,0.0357,111.979,4
71,Ultralight Beam,The Life Of Pablo,Kanye West,2016-06-10,320680,0,0.672,0.627,0.672,0.397,0.0,0.54,-8.804,0.381,105.71,4
72,Spiders,Spiders,Illa J,2016-10-13,186200,48,0.632,0.175,0.632,0.666,1.12e-06,0.167,-8.908,0.385,168.11,4
73,Music Sounds Better With You,Music Sounds Better With You,Stardust,1998-07-20,403293,72,0.735,0.00105,0.735,0.72,0.15,0.382,-7.04,0.336,124.174,4
74,Thousand Words,The Lost Boy,Cordae,2019-07-26,200016,53,0.701,0.333,0.701,0.592,0.0,0.124,-6.745,0.348,80.064,4
75,Been Around,The Lost Boy,Cordae,2019-07-26,203702,53,0.78,0.365,0.78,0.428,2.24e-06,0.0789,-7.069,0.39,70.749,4
76,Hallucinations,Hallucinations,dvsn,2015-12-24,246293,0,0.765,0.0662,0.765,0.396,7.38e-06,0.141,-8.991,0.0372,95.971,4
77,Pretty Girl Rock,No Boys Allowed,Keri Hilson,2010-01-01,243920,73,0.666,0.203,0.666,0.87,0.0,0.0851,-5.004,0.246,160.014,4
78,Nights Over Egypt,Get as Much Love as You Can,The Jones Girls,1981,279800,58,0.752,0.499,0.752,0.36,0.291,0.106,-14.317,0.0334,110.768,4
79,Master Blaster (Jammin'),Hotter Than July,Stevie Wonder,1980-09-29,307933,64,0.877,0.04,0.877,0.422,0.000406,0.182,-14.933,0.0546,131.103,4
80,Grown Up,Grown Up,Danny Brown,2012-06-12,139930,0,0.635,0.132,0.635,0.766,0.0,0.122,-6.449,0.26,93.603,4
81,Family Matters (feat. Arin Ray),The Lost Boy,Cordae,2019-07-26,210779,50,0.492,0.251,0.492,0.536,0.0,0.195,-9.932,0.382,84.947,4
82,Thanksgiving,The Lost Boy,Cordae,2019-07-26,198147,53,0.755,0.0987,0.755,0.535,1.09e-06,0.165,-7.967,0.387,77.562,4
83,My Boo,"Dj Tubarão Apresenta, Vol. 2",Various Artists,2017-09-25,309847,52,0.909,0.000505,0.909,0.448,7.83e-06,0.0558,-9.021,0.147,130.094,4
84,It'll All Be Over - DJ Koze Remix - Radio Edit,It'll All Be Over (DJ Koze Remix - Radio Edit),Gerry Read,2019-04-19,188048,54,0.707,0.000126,0.707,0.788,0.517,0.118,-8.538,0.031,123.023,4
85,Childs Play,Views,Drake,2016-05-06,241400,0,0.691,0.0173,0.691,0.482,7.1e-06,0.197,-11.14,0.231,160.027,4
86,Dímelo,Money On Me - EP,Snakehips,2016-04-15,193866,28,0.566,0.0522,0.566,0.444,0.0,0.158,-12.069,0.147,146.991,4
87,White Noise,White Noise,Disclosure,2013-01-01,340268,0,0.701,0.00537,0.701,0.884,0.0011,0.402,-7.338,0.0546,120.002,4
88,La Raza,Hispanic Causing Panic,Kid Frost,1990-01-01,209066,57,0.801,0.0406,0.801,0.529,0.000609,0.0936,-14.875,0.0962,106.965,4
89,The Ghetto,Short Dog's In The House,Too $hort,1990-09-11,302133,61,0.947,0.0455,0.947,0.354,5.71e-05,0.212,-12.844,0.27,100.087,4
90,Summer Jam - Radio Edit,Summer Jam,The Underdog Project,2000-03-20,213933,58,0.722,0.0113,0.722,0.864,0.0,0.294,-4.753,0.0321,130.017,4
91,GOT IT GOOD,99.9%,KAYTRANADA,2016-05-06,228146,0,0.606,0.0475,0.606,0.503,0.0,0.116,-6.678,0.155,80.04,4
92,GLOWED UP,99.9%,KAYTRANADA,2016-05-06,298026,0,0.681,0.036,0.681,0.621,0.00555,0.138,-10.024,0.34,135.538,4
93,TRACK UNO,99.9%,KAYTRANADA,2016-05-06,344120,0,0.843,0.0126,0.843,0.448,0.000944,0.0826,-10.398,0.316,119.564,4
94,L$D,AT.LONG.LAST.A$AP,A$AP Rocky,2015-05-26,238306,78,0.598,0.194,0.598,0.252,0.133,0.0992,-15.086,0.0644,120.064,4
95,Father Stretch My Hands Pt. 1,The Life Of Pablo,Kanye West,2016-06-10,135920,0,0.717,0.138,0.717,0.568,0.0,0.58,-4.404,0.0807,113.17,4
96,Escape 120 (feat. Raury),B4.DA.$$,Joey Bada$$,2015-01-20,227786,3,0.526,0.137,0.526,0.894,0.0,0.176,-4.901,0.389,76.515,4
97,Can't Tell Me Nothing,Graduation (UK Version),Kanye West,2007-09-11,271600,0,0.596,0.0122,0.596,0.62,0.0,0.82,-6.133,0.039,80.029,4
98,Endors Toi,Lonerism,Tame Impala,2012-01-01,186640,0,0.199,0.0347,0.199,0.925,0.56,0.364,-3.266,0.106,128.173,4
99,Blakkst Skn,Blakkst Skn,Rejjie Snow,2015-11-13,210563,26,0.888,0.0373,0.888,0.778,0.0,0.0888,-5.403,0.254,129.979,4
